percent,region1,region2,year,vaccine,oneparents,household,nurture,parking,hospital,score,tubercle,basic,infect,school,roadkill,violence,economy,foreign,noenter,LNG,LAT,year1
83.7,강남구,개포1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0604992,37.480258,"""2006"""
83.7,강남구,개포4동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0532531,37.4766254,"""2006"""
83.7,강남구,논현1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0267406,37.5120568,"""2006"""
83.7,강남구,논현2동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0359884,37.5151697,"""2006"""
83.7,강남구,대치1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0592099,37.4932837,"""2006"""
83.7,강남구,대치4동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0549429,37.5015894,"""2006"""
83.7,강남구,도곡1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0407387,37.4894403,"""2006"""
83.7,강남구,도곡2동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0489675,37.4880185,"""2006"""
83.7,강남구,삼성1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0593872,37.5162321,"""2006"""
83.7,강남구,삼성2동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0489931,37.5116921,"""2006"""
83.7,강남구,세곡동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.1034738,37.4724392,"""2006"""
83.7,강남구,수서동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.1015292,37.485455,"""2006"""
83.7,강남구,신사동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,126.9197666,37.4857049,"""2006"""
83.7,강남구,역삼1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0367584,37.4999211,"""2006"""
83.7,강남구,역삼2동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0449272,37.4984733,"""2006"""
83.7,강남구,일원1동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0907675,37.4930774,"""2006"""
83.7,강남구,일원2동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0811726,37.4941682,"""2006"""
83.7,강남구,일원본동,2006,116855,647,0,0,126,19,5.47,110,8539,1105,30,2.68,3262,5137,83,331,127.0839487,37.483064,"""2006"""
87.1,강동구,강일동,2006,72556,917,0,2,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1725746,37.5632192,"""2006"""
87.1,강동구,고덕1동,2006,72556,917,0,13,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1491472,37.5642144,"""2006"""
87.1,강동구,고덕2동,2006,72556,917,0,7,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1622577,37.5665935,"""2006"""
87.1,강동구,둔촌1동,2006,72556,917,0,4,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1400533,37.5228724,"""2006"""
87.1,강동구,둔촌2동,2006,72556,917,0,12,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1485334,37.531799,"""2006"""
87.1,강동구,명일1동,2006,72556,917,0,19,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1452785,37.5495731,"""2006"""
87.1,강동구,명일2동,2006,72556,917,0,3,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1557966,37.5484922,"""2006"""
87.1,강동구,상일동,2006,72556,917,0,18,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1650498,37.5507951,"""2006"""
87.1,강동구,성내1동,2006,72556,917,0,11,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1254874,37.5284538,"""2006"""
87.1,강동구,성내2동,2006,72556,917,0,11,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1277928,37.5343406,"""2006"""
87.1,강동구,성내3동,2006,72556,917,0,12,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1336758,37.5284118,"""2006"""
87.1,강동구,암사2동,2006,72556,917,0,5,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.12315,37.5581746,"""2006"""
87.1,강동구,암사3동,2006,72556,917,0,7,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1384252,37.5625071,"""2006"""
87.1,강동구,천호1동,2006,72556,917,0,16,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1375642,37.5465789,"""2006"""
87.1,강동구,천호3동,2006,72556,917,0,9,107,6,6.35,73,5912,313,25,2.68,3262,5137,43,461,127.1340726,37.5393527,"""2006"""
86.1,강북구,번1동,2006,78434,1570,0,12,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0308537,37.6383904,"""2006"""
86.1,강북구,번2동,2006,78434,1570,5,6,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0344734,37.6276871,"""2006"""
86.1,강북구,번3동,2006,78434,1570,3,11,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0433655,37.6234709,"""2006"""
86.1,강북구,수유1동,2006,78434,1570,4,13,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0087803,37.6295496,"""2006"""
86.1,강북구,수유2동,2006,78434,1570,1,18,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0195059,37.6450152,"""2006"""
86.1,강북구,수유3동,2006,78434,1570,0,16,87,3,4.53,97,9599,140,14,2.68,3262,5137,63,274,127.0238872,37.6410633,"""2006"""
84.4,강서구,가양1동,2006,186076,2203,0,11,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8352521,37.5734646,"""2006"""
84.4,강서구,가양2동,2006,186076,2203,8,10,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.85434,37.5683492,"""2006"""
84.4,강서구,가양3동,2006,186076,2203,9,8,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8622364,37.5627583,"""2006"""
84.4,강서구,공항동,2006,186076,2203,0,8,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.7947412,37.5566442,"""2006"""
84.4,강서구,등촌1동,2006,186076,2203,0,6,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.859834,37.5560676,"""2006"""
84.4,강서구,등촌2동,2006,186076,2203,0,8,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8594214,37.5447925,"""2006"""
84.4,강서구,등촌3동,2006,186076,2203,11,24,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8467162,37.561938,"""2006"""
84.4,강서구,발산1동,2006,186076,2203,2,6,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8258043,37.5502922,"""2006"""
84.4,강서구,방화1동,2006,186076,2203,0,21,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8129904,37.569611,"""2006"""
84.4,강서구,방화2동,2006,186076,2203,1,11,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8055663,37.583188,"""2006"""
84.4,강서구,방화3동,2006,186076,2203,0,13,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8153977,37.5829656,"""2006"""
84.4,강서구,염창동,2006,186076,2203,1,25,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8764141,37.5537467,"""2006"""
84.4,강서구,화곡2동,2006,186076,2203,0,12,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8548119,37.5326968,"""2006"""
84.4,강서구,화곡3동,2006,186076,2203,0,14,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8351141,37.5439302,"""2006"""
84.4,강서구,화곡4동,2006,186076,2203,0,13,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.85813,37.5359072,"""2006"""
84.4,강서구,화곡6동,2006,186076,2203,0,14,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.8511714,37.5516082,"""2006"""
84.4,강서구,화곡8동,2006,186076,2203,0,21,133,5,4.62,73,19989,163,34,2.68,3262,5137,148,619,126.847988,37.5337349,"""2006"""
