Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,39300,41300,29750,33800,447300,33317.45
2004-02-02,34000,35400,30500,34000,181900,33514.59
2004-03-02,35000,37350,32100,34800,125900,34303.17
2004-04-01,34600,36450,30500,31700,131600,31247.43
2004-05-03,31700,33000,24200,27000,131700,26614.53
2004-06-01,27550,30400,24900,28650,126500,28240.97
2004-07-01,28650,30500,25350,29500,121700,29078.84
2004-08-02,29000,35300,26900,34350,164100,33859.59
2004-09-01,34350,38200,31650,32500,199200,32036.01
2004-10-01,32500,36850,29400,32500,189700,32036.01
2004-11-01,32850,35050,30750,33450,142200,32972.44
2004-12-01,33500,36700,31900,33800,126800,33317.45
2005-01-03,33850,39700,32750,37800,99100,37260.34
2005-02-01,37800,48050,37800,47500,200100,46821.86
2005-03-02,48500,50900,41900,43450,145000,42829.68
2005-04-01,43000,48700,42650,43750,117600,43125.39
2005-05-02,44300,49800,44000,47750,82100,47068.29
2005-06-01,47300,53200,46400,47800,107900,47117.57
2005-07-01,47100,60300,47100,54400,124100,53623.34
2005-08-01,53700,68400,53300,68000,162900,67029.18
2005-09-01,67600,76400,66300,70100,101700,69099.2
2005-10-04,70000,74500,64500,69300,177900,68310.62
2005-11-01,70900,85200,69600,76100,155800,75013.54
2005-12-01,74800,89000,74800,85600,138500,84377.91
2006-01-02,85600,109000,84200,109000,168000,107443.84
2006-02-01,103000,108500,94500,104500,106600,103008.08
2006-03-02,103500,104500,87700,90800,127200,89503.67
2006-04-03,90800,104000,89700,90500,131700,89207.95
2006-05-02,91400,91500,75500,81500,156000,80336.45
2006-06-01,79500,81400,63900,73300,154700,72253.52
2006-07-03,73800,79900,66900,69400,116400,68409.2
2006-08-01,69200,77200,67400,74800,115700,73732.1
2006-09-01,75000,75300,67200,68000,148700,67029.18
2006-10-02,68200,79600,63900,78900,211300,77773.56
2006-11-01,78900,84700,75600,83000,129700,81815.03
2006-12-01,83000,87200,79600,84000,92200,82800.75
2007-01-02,83500,84600,71000,74600,105500,73534.95
2007-02-01,76200,86400,75600,84500,101100,83293.62
2007-03-02,83400,83400,74800,79000,107900,77872.14
2007-04-02,79200,98200,78000,95900,158300,94530.86
2007-05-02,95700,115500,89400,114500,166900,112865.31
2007-06-01,112000,123000,103000,109000,173400,107443.84
2007-07-02,107500,120000,99900,100000,148200,98572.33
2007-08-01,101000,106000,85400,106000,153700,104486.66
2007-09-03,104500,114000,95300,110000,119700,108429.55
2007-10-01,108500,128500,103500,125000,161200,123215.41
2007-11-01,128000,131500,104500,112500,108400,110893.87
2007-12-03,112500,120500,103500,119000,59900,117301.07
2008-01-02,117000,124500,89000,90000,130800,88715.09
2008-02-01,90700,91600,80500,89500,172000,88222.23
2008-03-03,86900,97600,78600,95500,111200,94136.57
2008-04-01,94000,108500,91500,106000,92600,104486.66
2008-05-02,105500,106500,92200,103000,104800,101529.49
2008-06-02,101500,103000,83900,84700,92200,83490.76
2008-07-01,84700,90600,75900,88300,122200,87039.37
2008-08-01,87100,92300,84100,89300,67300,88025.09
2008-09-01,90200,92700,82400,92000,148400,90686.54
2008-10-01,90900,91800,41050,62200,143800,61311.99
2008-11-03,63000,70000,44500,55100,191600,54313.35
2008-12-01,54700,68700,49200,63400,121300,62494.86
2009-01-02,63000,70700,59500,63900,108800,62987.71
2009-02-02,63500,66800,54400,56200,99400,55397.65
2009-03-02,55000,79500,52500,71500,106700,70479.21
2009-04-01,70900,85300,69800,79500,136600,78365
2009-05-04,80400,90000,78000,82700,132700,81519.31
2009-06-01,81300,99500,78800,89600,138300,88320.8
2009-07-01,89400,102500,88100,101000,87000,99558.05
2009-08-03,103000,108000,94400,95600,93300,94235.14
2009-09-01,94600,114500,94500,110000,113500,108429.55
2009-10-01,109000,127000,101000,114500,125700,112865.31
2009-11-02,112000,120000,105500,114000,138900,112372.45
2009-12-01,115000,125000,110000,112500,101900,110893.87
2010-01-04,113500,114500,99300,101500,166400,100050.91
2010-02-01,101500,102000,93100,99500,103600,98079.46
2010-03-02,100000,109000,99200,103500,83300,102022.36
2010-04-01,103000,108000,95200,99600,86400,98178.04
