Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,92200,117500,92100,115000,12000,113389.6
2004-02-02,116500,118500,105000,109000,7800,107473.62
2004-03-02,109000,111000,96400,99200,6500,97810.86
2004-04-01,99700,116500,99000,107500,12100,105994.62
2004-05-03,108000,111000,75000,92600,15100,91303.28
2004-06-01,92300,95400,77000,83800,9600,82626.51
2004-07-01,84400,91500,80000,82000,7600,80851.72
2004-08-02,83300,83600,78600,80000,4500,78879.73
2004-09-01,80100,90900,80100,87900,9400,86669.09
2004-10-01,88100,91400,85000,88900,6900,87655.09
2004-11-01,88800,96000,88200,93000,5400,91697.68
2004-12-01,93000,96500,87700,96100,4500,94754.27
2005-01-03,97600,102000,93000,102000,7100,100571.65
2005-02-01,102000,123500,100500,121000,13200,119305.58
2005-03-02,124000,167000,123000,150000,23800,147899.48
2005-04-01,147500,154000,133500,148000,7700,145927.48
2005-05-02,149000,164500,138000,142000,10600,140011.52
2005-06-01,140500,175000,135000,175000,14100,172549.39
2005-07-01,174000,190500,163000,184000,11700,181423.36
2005-08-01,181500,195000,168000,193000,6300,190297.33
2005-09-01,193000,198000,176000,184000,7200,181423.36
2005-10-04,182500,188000,167000,182000,6800,179451.38
2005-11-01,180500,182000,155000,170500,13500,168112.41
2005-12-01,168500,194000,165500,190000,7100,187339.34
2006-01-02,188000,240000,177000,216500,9200,213468.25
2006-02-01,213000,223000,195500,213000,3400,210017.27
2006-03-02,213500,219000,199000,216500,2500,213468.25
2006-04-03,216500,225000,199000,201000,3300,198185.31
2006-05-02,202000,203500,165500,190000,4700,187339.34
2006-06-01,179000,181500,137000,153500,4100,151350.47
2006-07-03,155500,155500,131000,139000,4800,137053.52
2006-08-01,140000,142500,126500,141000,5800,139025.52
2006-09-01,141000,157500,140000,153000,5300,150857.47
2006-10-02,152500,154000,136500,150000,3100,147899.48
2006-11-01,150000,178000,147500,176000,5200,173535.39
2006-12-01,176500,177000,159000,166000,2800,163675.42
2007-01-02,164500,181000,162500,167000,2300,164661.42
2007-02-01,167000,179000,152000,163500,8500,161210.44
2007-03-02,162500,162500,145500,162000,4200,159731.44
2007-04-02,162000,200000,157000,198000,11100,195227.31
2007-05-02,200500,214000,195000,206500,6300,203608.28
2007-06-01,208000,230000,201000,205000,6200,202129.3
2007-07-02,202500,246500,202000,240000,5400,236639.17
2007-08-01,239500,269500,220000,260000,10000,256359.09
2007-09-03,260500,315500,255000,313000,6800,308616.91
2007-10-01,309000,319500,252000,255000,5900,251429.12
2007-11-01,255000,259500,217000,230000,6500,226779.2
2007-12-03,232500,235000,207000,215500,4400,212482.25
2008-01-02,213500,226000,185000,208500,5300,205580.28
2008-02-01,208000,228500,203500,219000,2400,215933.25
2008-03-03,215500,215500,164500,169500,11000,167126.42
2008-04-01,171000,213500,169500,210000,8700,207059.28
2008-05-02,210000,217000,192000,198000,6400,195227.31
2008-06-02,199000,215000,194000,201000,5900,198185.31
2008-07-01,201500,203500,170000,193000,5600,190297.33
2008-08-01,193000,194500,183000,192000,3100,189311.34
2008-09-01,190000,191500,167000,179500,7300,176986.38
2008-10-01,177500,182000,88500,119000,11600,117333.59
2008-11-03,121500,163000,112000,142000,11200,140011.52
2008-12-01,142500,155000,128500,149000,6100,146913.48
2009-01-02,150000,154000,122500,133500,6200,131630.53
2009-02-02,134000,142500,116000,124000,4500,122263.57
2009-03-02,123000,146500,112500,137000,5200,135081.53
2009-04-01,137000,181000,134500,172500,8100,170084.41
2009-05-04,173500,193500,166000,174000,7300,171563.41
2009-06-01,175500,184000,165500,180000,6700,177479.38
2009-07-01,178000,211000,172500,211000,8000,208045.27
2009-08-03,211000,211000,180500,186000,8400,183395.36
2009-09-01,185000,203500,174500,198000,8300,195227.31
2009-10-01,199000,222500,191500,212000,7900,209031.27
2009-11-02,207500,214000,199000,208000,3700,205087.28
2009-12-01,206000,250000,205000,248000,6100,245609.36
2010-01-04,248000,254500,235000,240000,4800,237686.48
2010-02-01,236500,249500,225500,237500,3900,235210.58
2010-03-02,236000,286000,236000,276000,4500,273339.44
2010-04-01,276000,282500,260000,270500,4200,267892.47
2010-05-03,270500,289500,258500,267500,4600,264921.38
2010-06-01,265500,298000,260500,289000,4800,286214.12
2010-07-01,286000,293000,274000,274500,4200,271853.91
2010-08-02,275500,289500,240500,242000,4900,239667.2
2010-09-01,243000,259500,240000,256000,4400,253532.23
2010-10-01,255000,282000,249000,263500,6000,260959.94
2010-11-01,268000,286000,262500,267000,5400,264426.22
2010-12-01,267000,278500,259000,273000,4300,271412.06
2011-01-03,274000,279500,255000,258000,3600,256499.33
2011-02-01,257500,262000,239500,252500,2100,251031.31
2011-03-02,252000,273000,234000,272000,3100,270417.88
2011-04-01,271500,329500,266000,325000,7900,323109.62
2011-05-02,326000,356000,307000,347000,6000,344981.66
2011-06-01,350000,389500,341500,380000,6700,377789.69
2011-07-01,380500,446000,375500,436000,5200,433463.97
2011-08-01,436000,449000,331000,362000,7900,359894.41
2011-09-01,365500,377000,295500,305000,4400,303225.94
2011-10-04,290500,352000,273500,335000,4900,333051.44
2011-11-01,338000,410000,304000,403000,7500,400655.91
2011-12-01,405500,424000,354000,410500,3800,409157.41
2012-01-02,409000,418500,369500,395500,3200,394206.47
2012-02-01,391500,453000,376000,442000,3500,440554.38
2012-03-01,442000,474000,421000,474000,4700,472449.72
2012-04-02,470500,486000,456000,482000,3800,480423.56
2012-05-01,482000,538000,471000,535000,4800,533250.19
2012-06-01,531000,576000,525000,530000,4300,528266.56
2012-07-02,524000,542000,482000,507000,5100,505341.78
2012-08-01,509000,525000,480000,500000,4400,498364.69
2012-09-03,496500,571000,495500,571000,5200,569132.5
2012-10-01,571000,749000,558000,731000,6700,728609.19
2012-11-01,726000,768000,619000,662000,6900,659834.88
2012-12-03,660000,687000,610000,658000,4800,656934.38
2013-01-01,658000,734000,658000,683000,3600,681893.94
2013-02-01,683000,745000,652000,742000,5000,740798.38
2013-03-01,742000,856000,718000,856000,4400,854613.75
2013-04-01,853000,885000,760000,880000,5800,878574.88
2013-05-01,880000,880000,685000,738000,6100,736804.81
2013-06-03,727000,737000,582000,587000,7800,586049.38
2013-07-01,592000,655000,575000,598000,6000,597031.56
2013-08-01,597000,655000,585000,610000,5300,609012.12
2013-09-02,602000,680000,602000,673000,5200,671910.12
2013-10-01,666000,672000,581000,655000,5500,653939.25
2013-11-01,650000,719000,601000,693000,4800,691877.69
2013-12-02,694000,764000,682000,746000,4200,746000
2014-01-01,746000,790000,710000,788000,4000,788000
2014-02-03,789000,804000,743000,759000,4400,759000
2014-03-03,758000,832000,733000,790000,4100,790000
2014-04-01,786000,799000,781000,789000,6800,789000
