naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2003,14.2,627.7,11.1,23.8,436.7,11006.9,4713.7,6270,266.5,468.5,134.4,3508.9,2524,984.9,1.001000047,1.069000006,0.967999995,1.217000008,0.094999999,1.159000039,0.094999999,1.159000039
311119,2003,33.2,1204,20.7,44.1,647.9,22790.6,17382.9,6148.1,397.8,1391.2,210.5,5048.7,3195.8,1852.8,0.873000026,1.075000048,0.985000014,1.197999954,0.037,1.238000035,0.035999998,1.238000035
311211,2003,10.8,444.2,8.2,18.6,290.8,7402,5046.1,2361.1,185,864.6,183,2825.8,1713.8,1112,0.984000027,1.098999977,0.995999992,1.095999956,0.037999999,1.146999955,0.037999999,1.146999955
311212,2003,3.6,132.3,2.7,6.2,86.6,1936.8,1315.8,640.2,49.4,225.5,47.9,772.8,528.8,244,0.69599998,1.093000054,0.987999976,1.121999979,-0.118000001,1.562000036,-0.118000001,1.56400001
311213,2003,0.9,42,0.6,1.5,27.5,529.8,365.7,160.8,13.8,62.7,13.1,616.1,403.8,212.3,0.925000012,1.123000026,0.994000018,1.241000056,0.045000002,1.11500001,0.045000002,1.098999977
311221,2003,8.8,481.5,5.9,12.9,297.1,8203.8,4823.2,3381.2,237.9,477.4,753.6,7907.5,5944.7,1962.8,0.944000006,1.123999953,0.966000021,1.286000013,0.006,1.149999976,0.006,1.154000044
311222,2003,8,326.3,5.7,12.1,199.1,16342.3,12764.7,3641.9,239.1,1229,346.7,3098.5,2230.5,868,0.884000003,1.230000019,0.978999972,1.27699995,0.022,1.511999965,0.022,1.513000011
311223,2003,1.7,59,1.2,2.6,36,1417.9,982.7,421,18.4,94.6,30.1,909.2,561.1,348.1,0.954999983,1.034999967,0.991999984,1.248999953,-0.012,1.194000006,-0.013,1.192000031
311225,2003,7,283.5,5.3,11.2,188.8,7505.5,5947.8,1598.6,115.2,373.7,106.3,2373.1,1628.8,744.3,1.100000024,1.085999966,0.981999993,1.246999979,-0.026000001,0.938000023,-0.026000001,0.93900001
311230,2003,12.6,699.7,10.3,24.6,539.7,10484,2383.4,8107.6,263.9,353.8,113.9,5286.8,3903.9,1382.9,1.014999986,1.088999987,0.961000025,1.208999991,0.143999994,1.164999962,0.143999994,1.166000009
