Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,28,29.8,26.7,29.02,921500,13.35
2004-02-02,29.27,30.1,28.05,29.72,822200,13.7
2004-03-01,29.85,30.88,26.95,28.65,637900,13.21
2004-04-01,28.45,29.82,26.57,26.99,709600,12.45
2004-05-03,26.8,27.56,24.23,24.95,795400,11.54
2004-06-01,25.2,27.05,24.26,26.15,898700,12.1
2004-07-01,26.15,27.82,24.4,25.32,765500,11.71
2004-08-02,25.25,25.86,23.93,25.86,813700,12
2004-09-01,25.87,29.34,25.74,28.69,629200,13.32
2004-10-01,28.69,30.66,27.86,28.55,818400,13.25
2004-11-01,28.56,32.81,27.55,32.63,988300,15.19
2004-12-01,32.63,34.25,30.09,34.04,704700,15.85
2005-01-03,33.94,37.95,31.35,37.9,1057000,17.64
2005-02-01,37.98,41.43,37.69,40.04,1133500,18.68
2005-03-01,40.04,41.36,36.91,39.69,1202200,18.52
2005-04-01,39.98,41.22,37.43,38.44,1172900,17.93
2005-05-02,38.53,42.28,36.75,41.47,1165200,19.38
2005-06-01,41.5,47.5,40.11,46.92,1221600,21.93
2005-07-01,47,57.8,46.95,57.12,1185000,26.7
2005-08-01,57.45,60.34,52.62,59.42,1395900,27.81
2005-09-01,59.42,62,57.76,60.39,993700,28.27
2005-10-03,60.4,61.2,49.05,55.4,1443800,25.93
2005-11-01,54.95,59.25,51.58,58.02,1249400,27.2
2005-12-01,58.6,65.62,58,61.91,902400,29.02
2006-01-03,62.55,78.59,62.53,78.36,1475100,36.73
2006-02-01,78.6,79.21,64.06,65.77,1965900,30.87
2006-03-01,66.19,72.78,59.46,69.82,1712400,32.77
2006-04-03,70.12,75.86,67.01,72.74,1417800,34.14
2006-05-01,71.36,80.47,60.52,65.76,2010100,30.89
2006-06-01,65.55,68.39,52.05,60.26,1864500,28.31
2006-07-03,60.4,61.21,24.71,27.68,1599000,26.01
2006-08-01,27.64,28.17,23.87,24.53,1232600,23.09
2006-09-01,24.64,25.99,21.58,23.03,1641000,21.68
2006-10-02,23.06,25.28,21.26,23.95,1723900,22.54
2006-11-01,24.02,26.75,23,26.57,1581400,25.06
