Date,Open,High,Low,Close,Volume,Adj Close
2004-01-02,24.95,25.85,24.54,25.74,5320900,19.34
2004-02-02,25.82,28.76,25.72,28.3,5415500,21.26
2004-03-01,28.4,29.98,27.54,28.57,5138500,21.47
2004-04-01,28.75,29.43,26.4,27.23,5613300,20.46
2004-05-03,27.43,27.88,25.05,26.4,4428000,19.83
2004-06-01,26.21,27.38,25.8,26,4702500,19.53
2004-07-01,26.09,28.25,25.74,27.5,3866400,20.66
2004-08-02,27.32,27.59,25.64,27.02,3014900,20.3
2004-09-01,27.03,28.13,26.86,28.03,4005400,21.06
2004-10-01,28,29.49,27.31,29.15,5078600,21.9
2004-11-01,29.05,31,28.77,30.74,5508300,23.52
2004-12-01,30.9,32.96,30.86,32.06,4589400,24.53
2005-01-03,31.6,32.5,30.81,32.39,4951300,24.79
2005-02-01,32.05,33.25,31.4,33.08,4769000,25.32
2005-03-01,33.02,34.56,30.96,31.14,5126400,23.83
2005-04-01,31.2,31.91,29.11,29.31,5962200,22.43
2005-05-02,29.12,31.5,29.12,30.94,5112800,23.68
2005-06-01,30.84,31.21,27.74,27.75,6621300,21.24
2005-07-01,27.81,31.25,27.36,31.17,6562600,23.85
2005-08-01,30.25,34.7,30.25,32.45,7946400,24.83
2005-09-01,32.3,35.03,31.31,33.49,9639400,25.63
2005-10-03,33.4,34.02,31.48,31.6,8643100,24.18
2005-11-01,32.73,34.76,31.61,33.85,7941700,26.44
2005-12-01,34.23,35.69,33.58,33.72,5501200,26.33
2006-01-03,34.29,36.31,33.2,35.01,8978700,27.34
2006-02-01,35.01,36.75,34.89,34.91,5644200,27.26
2006-03-01,35,35.25,34.11,34.36,5046400,26.83
2006-04-03,34.45,35.57,33.71,34.57,5836900,27
2006-05-01,34.64,35.99,32.62,33.17,5752100,25.9
2006-06-01,32.97,34.6,31.73,33.6,6346000,26.24
2006-07-03,33.7,35.5,32.75,35.39,5700800,27.64
2006-08-01,35.2,36.25,34.22,35.9,4335900,28.04
2006-09-01,36.25,40.06,36.01,39.12,9723900,30.55
2006-10-02,39.12,42.48,38.95,41.92,19860700,32.74
2006-11-01,42.15,42.26,40.79,41.97,8096900,33.58
2006-12-01,42.18,44.68,41.7,44.33,5298400,35.47
2007-01-03,43.65,45.06,42.54,44.35,7409400,35.48
2007-02-01,44.26,46.21,43.38,43.69,6317500,34.95
2007-03-01,43.49,45.49,42.31,45.05,6589100,36.04
2007-04-02,44.28,49.7,44.26,48.28,7672100,38.63
2007-05-01,48.21,52.58,48.21,50.55,9004000,40.44
2007-06-01,50.56,52.88,50.02,50.76,7507600,40.61
2007-07-02,51.19,53.22,47.86,47.87,7665400,38.3
2007-08-01,47.68,51.88,46.64,49.25,8208500,39.4
2007-09-04,49.13,55.73,48.81,54.47,10088100,43.58
2007-10-01,54.75,59.85,54.67,59.75,7688800,47.8
2007-11-01,59.35,59.92,56.24,58.47,10596900,48.01
2007-12-03,58.45,63.69,58.1,58.91,7504100,48.37
2008-01-02,59.48,59.48,49.36,53.58,16249200,43.99
2008-02-01,53.67,57.07,52.85,54.11,9028900,44.73
2008-03-03,53.98,56.51,52,55.77,9147700,46.1
2008-04-01,56.04,60.6,55.14,59.58,7775100,49.25
2008-05-01,59.54,61.76,57.31,59.32,6469100,49.04
2008-06-02,59.12,60.41,55.17,56.22,8682400,46.78
2008-07-01,55.87,61.21,55.7,59.79,9406200,49.75
2008-08-01,59.83,67,59.44,62,9203600,51.9
2008-09-02,62.39,65.47,59.56,61.7,11841800,51.65
2008-10-01,61.18,64.02,45.79,57.93,15302400,48.49
2008-11-03,58.41,58.98,51.15,58.75,11912500,49.62
2008-12-01,58.07,63.99,55.44,62.19,10811400,52.52
2009-01-02,62.38,64.46,56.41,58.02,10844000,49
2009-02-02,57.62,59.77,51.5,52.25,11286200,44.54
2009-03-02,51.8,56.09,50.44,54.57,13122100,46.51
2009-04-01,54.3,57.27,53.03,53.29,9188900,45.42
2009-05-01,53.21,59.03,51.76,58.99,10752800,50.28
2009-06-01,59.18,61.01,56.04,57.49,8943100,49.41
2009-07-01,57.65,59.59,54.92,55.06,10736400,47.32
2009-08-03,55.11,57.22,54.43,56.24,9139900,48.76
2009-09-01,56.05,57.67,53.88,57.07,10629800,49.48
2009-10-01,56.99,60.6,56.03,58.61,9572300,50.82
2009-11-02,58.84,64.75,58.6,63.25,8536800,55.31
2009-12-01,63.64,64.05,60.04,62.44,7169900,54.6
2010-01-04,62.63,64.78,61.06,62.43,8734500,54.59
2010-02-01,62.83,65.75,62.54,63.85,8364800,56.31
2010-03-01,63.98,67.49,63.25,66.72,6922900,58.84
2010-04-01,67.06,71.71,67.06,70.59,6806500,62.25
2010-05-03,70.88,71.84,65.55,66.87,9631500,59.47
2010-06-01,66.23,70.58,65.8,65.87,7112800,58.58
2010-07-01,66.72,71.54,65.31,69.73,6636700,62.01
2010-08-02,70.5,74.07,69.84,73.06,6149900,65.46
2010-09-01,73.92,76.26,73.66,74.51,6979500,66.76
2010-10-01,75.04,79.9,74.4,77.77,5488300,69.68
2010-11-01,78.06,79.85,77.12,78.3,5886500,70.7
2010-12-01,79.14,80.94,75.94,76.76,5306400,69.31
2011-01-03,77.1,77.59,72.14,73.67,12017300,66.52
2011-02-01,74.22,76.45,73.08,75.68,7746400,68.9
2011-03-01,75.71,77.25,72.89,76.09,6427100,69.27
2011-04-01,76.3,78.59,75.66,78.31,5124100,71.29
2011-05-02,78.4,83.08,78.2,81.54,6057000,74.79
2011-06-01,81.47,84.91,80,84.32,6067100,77.34
2011-07-01,84.16,89.57,84.15,86.48,6136200,79.32
2011-08-01,87.49,91.22,82.01,90.41,9123300,83.48
2011-09-01,90.27,91.09,83.65,87.82,8310800,81.09
2011-10-03,87.43,93.84,83.74,92.85,6792900,85.74
2011-11-01,92.31,95.54,91.22,95.52,5597400,88.86
2011-12-01,95.44,101,94.82,100.33,5402700,93.34
2012-01-03,101.33,102.22,97.7,99.05,6346300,92.15
2012-02-01,99.46,101.29,98.26,99.28,4719700,93.01
2012-03-01,99.28,100.44,95.13,98.1,6402200,91.91
2012-04-02,97.82,99.5,94.13,97.45,6867900,91.3
2012-05-01,97.23,98.01,89.26,89.34,6326700,84.35
2012-06-01,87.47,90.76,85.92,88.53,7631100,83.59
