Date,Open,High,Low,Close,Volume,Adj Close
2004-01-01,14200,14300,11800,11900,267000,11311.13
2004-02-02,12000,12050,10600,10800,327500,10265.56
2004-03-01,10800,11700,9910,9960,361300,9467.13
2004-04-01,9990,11600,9920,10050,317800,9552.67
2004-05-03,9970,10600,7930,8600,202100,8174.43
2004-06-01,8550,9250,8240,9130,122900,8678.2
2004-07-01,9150,9850,8750,9530,98600,9058.41
2004-08-02,9460,9540,8520,9350,105900,8887.31
2004-09-01,9400,12000,9360,11700,285300,11121.02
2004-10-01,11700,14050,11650,13600,336700,12927
2004-11-01,13600,13750,10350,11300,427900,10740.82
2004-12-01,11100,11400,9600,10200,250800,9695.25
2005-01-03,10300,10800,9980,10000,242900,9505.15
2005-02-01,10000,13250,9900,13100,509200,12451.74
2005-03-01,13100,13800,11650,12250,298300,11643.81
2005-04-01,12250,12400,10550,10700,116700,10170.51
2005-05-02,10750,11700,10250,11150,100700,10598.24
2005-06-01,11000,12400,10950,12350,167600,11738.86
2005-07-01,12250,13400,11850,13050,397500,12404.22
2005-08-01,13000,13400,11650,12150,235300,11548.76
2005-09-01,12250,13800,12250,13250,306800,12594.32
2005-10-03,13250,13450,12050,12100,356600,11501.23
2005-11-01,12150,16900,12050,15600,616900,14828.03
2005-12-01,16200,17900,15000,16350,508200,15540.92
2006-01-02,16350,19400,14300,17250,665600,16396.38
2006-02-01,16800,17200,13100,14950,930500,14210.2
2006-03-01,14950,18550,13950,18000,379300,17109.27
2006-04-03,18300,20950,17950,19950,465200,18962.77
2006-05-02,19650,20500,15800,16350,309300,15540.92
2006-06-01,16250,16750,13200,14950,263700,14210.2
2006-07-03,14850,15800,13800,15300,241300,14542.88
2006-08-01,15200,17900,14550,17450,287100,16586.48
2006-09-01,17350,21400,16650,20600,468600,19580.61
2006-10-02,20550,21650,18950,19950,310000,18962.77
2006-11-01,20250,26700,20150,25800,368300,24523.28
2006-12-01,25600,27600,23200,27350,234200,25996.58
2007-01-01,27350,28300,23300,26500,307900,25188.64
2007-02-01,26500,30000,26200,27900,178700,26519.37
2007-03-01,27900,32650,26150,31700,284700,30131.32
2007-04-02,31800,44000,31150,39000,492900,37070.08
2007-05-01,39000,55700,39000,55700,330600,52943.68
2007-06-01,55700,57500,46200,49500,337200,47050.48
2007-07-02,49000,59700,48200,58600,428000,55700.17
