naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,2000,14.8,583.8,11.5,25.1,390,8751.4,4471.4,4283,332.5,410.6,108,3184.2,2235.4,948.8,0.990999997,0.925999999,0.97299999,1.095999956,0.007,0.934000015,0.007,0.934000015
311119,2000,34.5,1086.3,20.9,43,567,15483.8,11937.4,3622,265,835.3,264.3,4819.9,2964.1,1855.7,0.777999997,0.921000004,0.987999976,1.085999966,-0.037999999,1.121999979,-0.037999999,1.121999979
311211,2000,12.6,441.4,9.6,20,293.3,6612.1,4498.7,2116,190.7,528.2,131.6,2767.6,1679.5,1088.1,0.848999977,0.933000028,0.991999984,1.031999946,0.079999998,1.146000028,0.079999998,1.146000028
311212,2000,4.2,135.2,3.3,6.8,87.8,1968.6,1405,529.6,62.5,392.9,33.8,744.4,519.3,225.1,0.730000019,0.934000015,0.981999993,1.052999973,0.179000005,1.299999952,0.179000005,1.299999952
311213,2000,0.9,40.2,0.6,1.3,25.1,507.5,393,135.6,21.5,119,37.7,660.8,444.6,216.2,0.933000028,0.948000014,0.994000018,1.128999949,-0.063000001,0.865999997,-0.061999999,0.866999984
311221,2000,9.2,443,5.8,13.6,271,7335,4505,2871.4,712.9,497.1,686.4,7529.8,5586.7,1943.1,0.828999996,0.944999993,0.973999977,1.133000016,-0.013,1.111999989,-0.012,1.113000035
311222,2000,6.5,254.2,4.6,10.3,156.4,10113.1,8545.9,1655.7,143,906.4,278.8,3104.1,2256.8,847.3,0.703000009,0.876999974,0.977999985,1.131000042,-0.041999999,1.243000031,-0.041999999,1.243000031
311223,2000,1.9,64,1.3,2.8,35.5,1327.3,1081.8,299.8,19.7,337.1,44.3,1001.1,640.1,361,0.790000021,0.85799998,0.992999971,1.110000014,0.119999997,1.077999949,0.119999997,1.078999996
311225,2000,7.4,260.3,5.5,11.7,175,5927.6,4183.5,1728.7,102.7,360.7,82.8,2423.4,1681.1,742.4,0.920000017,0.894999981,0.984000027,1.116000056,0.093999997,0.986000001,0.093999997,0.986000001
311230,2000,14.6,749.2,11.9,26.5,592.2,11040.3,2620.6,8421.7,304.2,358.8,103.1,5331.3,3942.8,1388.5,0.975000024,0.972000003,0.968999982,1.100000024,0.017999999,1.199000001,0.017999999,1.199000001
311311,2000,4.9,158.2,3.4,8,117.2,1485.1,800,703.2,66.7,465.8,37.5,1286.7,878.1,408.6,0.855000019,0.934000015,0.964999974,1.133000016,0.123000003,1.223999977,0.123999998,1.225000024
311312,2000,3.9,203.2,2.9,7.1,135,2927.2,2373.4,575.1,34.1,181.3,65.5,1360.7,702.8,657.9,0.934000015,0.934000015,0.959999979,1.151000023,0.015,1.026000023,0.015,1.026000023
311313,2000,7.6,268.6,6.6,14,217.8,2535.1,1618.1,965.5,87.6,843.6,156.4,1981.2,1418.9,562.3,0.799000025,0.934000015,0.971000016,1.16900003,0.086999997,1.14199996,0.086000003,1.139999986
311320,2000,9.1,342.9,7.7,14.8,254.6,4174.9,1960.3,2199.3,59.6,628.7,40.8,1739.6,1265.5,474,1.014999986,0.985000014,0.977999985,1.06400001,0.022,1.075000048,0.022,1.075000048
311330,2000,35.6,946.1,27.9,52.9,675.6,8973.2,3267.1,5680.1,270.4,966.5,87.1,3062.2,1904.4,1157.8,1.011999965,0.994000018,0.978999972,1.059999943,0.008,1.034999967,0.008,1.034999967
311340,2000,22.9,756.5,19.4,37.6,501.4,5595.5,2059.7,3578.7,201.7,565.7,67.8,2182.9,1574.1,608.8,1.026000023,1,0.980000019,1.074000001,0.048,1.006999969,0.048,1.006999969
311411,2000,43.6,1105.1,37.6,74.9,825.9,9822.2,5045.3,4772.4,416.9,2147.7,216.9,5346.3,3663.1,1683.2,0.999000013,1.004999995,0.989000022,1.092000008,0.035999998,0.981000006,0.035999998,0.981000006
311412,2000,47.9,1322.8,40.1,80.7,939.4,11573.7,5209.9,6368.3,313.8,719.2,135,4108.5,2743.7,1364.8,1.003999949,1.004999995,0.978999972,1.049000025,0.023,1.039000034,0.023,1.039000034
311421,2000,61,1818.6,52.3,105,1312,17732.6,9642.2,8116.8,776.5,4029.5,317.6,8970.7,5630.4,3340.3,1.013000011,1.008000016,0.976999998,1.118000031,0.003,1.04400003,0.003,1.04400003
311422,2000,15.8,515.5,13.3,26.9,398.2,7849.4,2703.8,5146.9,156.3,752.5,87.6,3508.6,2128.6,1380,1.032999992,1.008000016,0.976999998,1.126000047,-0.039999999,0.940999985,-0.039999999,0.940999985
311423,2000,12.5,368.6,10.6,22.2,251.8,3354.5,1800.4,1483.8,152,847.2,93.7,1985.4,1274.3,711.1,1.021000028,1.008000016,0.976999998,1.139000058,-0.02,1.021000028,-0.021,1.021000028
311511,2000,57.9,2062.4,30.3,64.4,1019.8,23764.1,16005.5,7787.2,497.1,565.7,233.5,8730.8,4816,3914.8,1.047000051,0.976000011,0.986000001,1.057999969,0.061999999,0.994000018,0.061999999,0.994000018
