Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,31.82,32.46,31.82,32.05,1808100,29.95
2010-01-05,31.96,32.41,31.78,32.31,1564100,30.2
2010-01-06,32.45,33.04,32.36,32.81,2218600,30.66
2010-01-07,32.65,33.2,32.38,33.1,2026100,30.94
2010-01-08,33.33,33.43,32.51,32.65,1925800,30.52
2010-01-11,32.99,33.05,32.11,32.17,2157800,30.07
2010-01-12,32.26,32.26,31.1,31.24,3181800,29.19
2010-01-13,31.03,31.52,31.01,31.42,2260300,29.37
2010-01-14,31.61,32.18,31.5,31.89,2820500,29.8
2010-01-15,32.05,32.13,31.36,31.63,2749400,29.56
2010-01-18,31.82,32.12,31.43,32.1,1491100,30
2010-01-19,32.33,32.45,31.65,32.43,2637600,30.31
2010-01-20,32.3,32.39,31.67,31.8,2544500,29.72
2010-01-21,32,32.19,31.16,31.16,3245800,29.12
2010-01-22,31.14,31.37,30.32,30.7,3337200,28.69
2010-01-25,30.31,30.79,30.05,30.14,1893400,28.17
2010-01-26,30,30.53,29.4,30.25,2930800,28.28
2010-01-27,29.93,30.14,29.38,29.59,2995100,27.66
2010-01-28,29.95,30.28,29.49,29.55,4794500,27.62
2010-01-29,29.9,31.3,29.85,30.96,4908000,28.94
2010-02-01,30.69,31.31,30.56,31.07,2392300,29.03
2010-02-02,31.05,31.28,30.58,31.17,2398900,29.14
2010-02-03,31.28,31.77,31.01,31.23,2343600,29.18
2010-02-04,31.32,31.53,30.21,30.33,2473000,28.35
2010-02-05,30.25,30.28,29.43,29.92,3436800,27.96
2010-02-08,30,30.45,29.33,29.61,3359800,27.67
2010-02-09,29.75,30.07,29.35,29.62,2235500,27.69
2010-02-10,29.89,30.12,29.55,29.67,2197500,27.73
2010-02-11,29.81,29.87,29.02,29.49,3076300,27.56
2010-02-12,29.59,29.84,28.28,29,3832300,27.1
2010-02-15,29,29.29,28.46,28.65,2088000,26.78
2010-02-16,28.9,29.45,28.6,29.41,2560600,27.48
2010-02-17,29.68,29.77,29.35,29.61,2157300,27.68
2010-02-18,29.58,29.76,28.45,29.42,4277100,27.49
2010-02-19,29.22,30.43,29.01,30.43,3241100,28.44
2010-02-22,30.65,30.67,30.06,30.26,2163100,28.28
2010-02-23,30.35,30.52,29.53,29.69,2331400,27.75
2010-02-24,29.79,29.87,29.18,29.49,2161700,27.56
2010-02-25,29.25,29.82,29.06,29.38,2173800,27.45
2010-02-26,29.69,30,29.55,29.78,2098200,27.84
2010-03-01,30.2,30.58,29.95,30.44,1927500,28.45
2010-03-02,30.57,31.47,30.49,31.34,2630200,29.29
2010-03-03,31.4,31.76,31.08,31.65,1971900,29.58
2010-03-04,31.5,31.8,31.34,31.56,1842300,29.5
2010-03-05,31.63,32.45,31.63,32.37,2465600,30.25
2010-03-08,32.4,32.54,31.81,31.99,2206400,29.9
2010-03-09,31.83,32.29,31.58,32.13,2367300,30.03
2010-03-10,32.06,32.33,31.81,32.26,2312500,30.16
2010-03-11,32.17,33.26,32.16,32.69,4103300,30.55
2010-03-12,32.85,32.94,32.44,32.54,1901600,30.41
2010-03-15,32.62,32.92,32.54,32.64,1691800,30.51
2010-03-16,32.78,32.97,32.55,32.76,1592100,30.61
2010-03-17,32.83,33.04,32.45,32.47,2630600,30.35
2010-03-18,32.43,32.56,31.98,32.1,2789400,30.01
2010-03-19,32.42,32.49,32.02,32.06,4417900,29.96
2010-03-22,31.92,32.65,31.87,32.5,3021900,30.37
2010-03-23,32.69,33.44,32.61,33.15,4092700,30.98
2010-03-24,33.33,33.51,32.92,33.38,2363900,31.19
2010-03-25,33.5,34.1,33.49,34.04,2624900,31.81
2010-03-26,33.94,34.35,33.81,34.2,2849800,31.96
2010-03-29,34.4,34.73,34.01,34.12,2104400,31.88
2010-03-30,34.26,34.43,33.71,33.78,1781800,31.58
2010-03-31,33.88,34.29,33.78,34.18,2505000,31.94
2010-04-01,35.11,35.49,34.97,35.15,3985700,32.86
2010-04-06,35.4,35.45,35.15,35.41,2823100,33.09
2010-04-07,35.34,35.41,34.77,34.8,2156500,32.52
2010-04-08,34.8,35.06,34.44,34.53,2398000,32.27
2010-04-09,34.88,35.05,34.64,34.86,1429400,32.58
2010-04-12,35.25,35.39,34.99,35.12,1758500,32.82
2010-04-13,35.06,35.38,34.88,35.35,2266500,33.04
2010-04-14,35.06,35.58,34.88,35.51,2856400,33.19
2010-04-15,35.59,35.61,35.09,35.33,2295500,33.02
2010-04-16,35.15,36.19,35.15,35.56,4085600,33.23
2010-04-19,35.45,35.78,35.1,35.31,1896100,33
2010-04-20,36.56,37.08,36.41,36.79,4193200,34.39
2010-04-21,36.75,36.99,36.37,36.58,2683800,34.19
2010-04-22,36.63,37.12,35.93,36.25,2762500,33.88
2010-04-23,36.6,37.4,36.33,37.28,2459000,34.84
2010-04-26,37.6,37.85,37.26,37.82,1791200,35.35
2010-04-27,37.85,37.96,37.06,37.06,3196600,34.64
2010-04-28,36.8,37.28,36.14,36.79,3939600,34.38
2010-04-29,36.7,36.9,36.19,36.78,2643600,34.37
2010-04-30,36.83,37.62,36.7,37.13,2191000,34.7
2010-05-03,37.08,37.5,36.72,37.38,1184100,34.94
2010-05-04,37.51,37.56,35.38,35.84,3500500,33.5
2010-05-05,36.61,36.62,35.42,35.98,3411400,33.63
