Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,803000,809000,800000,809000,233300,790961.18
2010-01-05,826000,829000,815000,822000,531600,803671.31
2010-01-06,829000,841000,826000,841000,452400,822247.65
2010-01-07,841000,841000,813000,813000,428000,794871.99
2010-01-08,820000,821000,806000,821000,291100,802693.6
2010-01-11,821000,823000,797000,797000,386300,779228.75
2010-01-12,797000,809000,795000,809000,347300,790961.18
2010-01-13,805000,806000,797000,797000,261200,779228.75
2010-01-14,806000,831000,800000,827000,529500,808559.82
2010-01-15,832000,843000,829000,842000,394400,823225.35
2010-01-18,840000,846000,828000,843000,260800,824203.06
2010-01-19,850000,850000,822000,823000,235100,804649.01
2010-01-20,823000,837000,823000,834000,321700,815403.73
2010-01-21,820000,850000,820000,850000,332700,831046.97
2010-01-22,840000,845000,818000,825000,449300,806604.41
2010-01-25,816000,848000,815000,842000,407000,823225.35
2010-01-26,846000,846000,812000,815000,372500,796827.39
2010-01-27,815000,817000,800000,800000,358300,782161.86
2010-01-28,808000,815000,803000,808000,272700,789983.47
2010-01-29,800000,801000,780000,784000,446500,766518.62
2010-02-01,784000,785000,765000,777000,489400,759674.7
2010-02-02,790000,790000,770000,772000,388900,754786.19
2010-02-03,782000,785000,768000,777000,329000,759674.7
2010-02-04,775000,783000,772000,776000,238100,758697
2010-02-05,758000,761000,747000,750000,514100,733276.74
2010-02-08,747000,754000,741000,748000,437800,731321.34
2010-02-09,748000,761000,742000,761000,336600,744031.47
2010-02-10,763000,764000,752000,755000,263400,738165.25
2010-02-11,757000,765000,756000,763000,264100,745986.87
2010-02-12,767000,767000,745000,750000,457500,733276.74
2010-02-15,750000,750000,750000,750000,0,733276.74
2010-02-16,750000,759000,748000,756000,154400,739142.95
2010-02-17,772000,779000,764000,779000,279900,761630.11
2010-02-18,779000,781000,772000,775000,145000,757719.3
2010-02-19,769000,777000,759000,760000,221800,743053.76
2010-02-22,772000,778000,770000,773000,231600,755763.89
