number,cost
258144,382100
286925,416900
272412,463400
197412,422000
157289,366900
183385,326500
247264,397600
312803,420700
308924,516900
341350,557000
311551,490200
339806,583200
284012,431300
280790,453400
317491,535900
314061,493100
337593,558300
359519,522800
367633,502700
374446,514900
356608,482600
427241,549400
387701,491300
377897,517400
322657,454800
349959,500400
393081,486100
357776,417700
331303,449500
333070,461400
349759,460300
369462,539800
365612,501600
426639,542700
377212,503100
370788,475600
290260,415400
305307,457000
370773,513400
357908,446600
373168,546100
361529,525400
349542,457200
396212,500500
388588,452300
425179,509400
385149,481400
361098,455100
296669,438300
334327,445100
368964,500800
361083,464500
359477,489700
359226,471000
350553,490000
377860,583800
365407,448400
453625,597700
389294,636300
371949,527900
303800,593900
330912,560100
386578,853600
384764,659100
389666,700500
367888,597000
388089,592800
366517,632100
392131,886400
449340,1464400
407431,1155800
474688,1023400
441688,946500
453450,1106600
523411,987800
526297,794600
409679,643400
371321,699200
444465,668200
484305,738500
503702,757300
556251,832000
480386,815300
490239,793000
400818,700300
446525,718000
545442,756500
543297,772000
525340,1110400
520474,963900
541085,799400
580207,866500
546739,753900
658244,958600
558324,979100
500389,942800
399998,690400
430922,763800
539278,963500
543974,798900
535772,938900
586384,910300
667906,962900
718143,1248800
674970,1374100
768196,1235900
677254,1271300
660310,1238100
557008,1009500
574347,1040700
711326,1183500
773569,1307900
732888,1391800
755401,1146600
811913,1113200
854750,1074700
766355,1050400
793089,1158100
663682,995500
662490,976200
570758,1026500
608384,944500
756798,1154000
727217,1186800
658412,1125300
760357,1195700
872436,1218600
986570,1062100
853274,1324600
837826,1447800
710478,1262500
733178,1354600
640335,1199300
