Parameter tuning of ¡®knn.wrapper¡¯:

- sampling method: bootstrapping 

- best parameters:
  k
 73

- best performance: 0.2924368 

- Detailed performance results:
      k     error dispersion
1     1 0.3866706 0.02457049
2     2 0.4046178 0.01853153
3     3 0.3899073 0.02282559
4     4 0.3719753 0.02107791
5     5 0.3604118 0.02426315
6     6 0.3639491 0.02890798
7     7 0.3548620 0.01928281
8     8 0.3416285 0.02056808
9     9 0.3437569 0.01629324
10   10 0.3430649 0.02376866
11   11 0.3376267 0.01906795
12   12 0.3363335 0.01758664
13   13 0.3319360 0.02198594
14   14 0.3257681 0.02810893
15   15 0.3238047 0.02631451
16   16 0.3187185 0.03437518
17   17 0.3183149 0.02306090
18   18 0.3158647 0.01991737
19   19 0.3143541 0.01541938
20   20 0.3163695 0.01692849
21   21 0.3187315 0.02621465
22   22 0.3198788 0.02606881
23   23 0.3196336 0.03052644
24   24 0.3165994 0.03131416
25   25 0.3147015 0.02911235
26   26 0.3161495 0.03053680
27   27 0.3121776 0.02845567
28   28 0.3171580 0.02673294
29   29 0.3151572 0.02808935
30   30 0.3122510 0.03173977
31   31 0.3135835 0.03573942
32   32 0.3136306 0.03277044
33   33 0.3136774 0.03316422
34   34 0.3151024 0.03392263
35   35 0.3141823 0.03267791
36   36 0.3132155 0.03340707
37   37 0.3126345 0.03269104
38   38 0.3107968 0.03286426
39   39 0.3092068 0.03729575
40   40 0.3112943 0.03570099
41   41 0.3122732 0.03344175
42   42 0.3113503 0.02719324
43   43 0.3079656 0.02651651
44   44 0.3070017 0.02724658
45   45 0.3035749 0.02919382
46   46 0.3050360 0.03233481
47   47 0.3064470 0.02872931
48   48 0.3025682 0.02863970
49   49 0.3073435 0.03674209
50   50 0.3092587 0.03773650
51   51 0.3083211 0.03666080
52   52 0.3045565 0.02435111
53   53 0.3040669 0.02687266
54   54 0.3064368 0.03149170
55   55 0.3073802 0.03390147
56   56 0.3016185 0.02558470
57   57 0.2977526 0.02128129
58   58 0.2996143 0.02878261
59   59 0.2977229 0.02448812
60   60 0.2991538 0.02473940
61   61 0.2967277 0.02641377
62   62 0.2986875 0.02679184
63   63 0.2982270 0.02194511
64   64 0.2958139 0.02219581
65   65 0.2962993 0.02260014
66   66 0.2963215 0.02278959
67   67 0.2958162 0.02246018
68   68 0.2948431 0.02204778
69   69 0.2938815 0.02245037
70   70 0.2943669 0.02208762
71   71 0.2962946 0.02124042
72   72 0.2943553 0.02262532
73   73 0.2924368 0.02359538
74   74 0.2929107 0.02411609
75   75 0.2929107 0.02411609
76   76 0.2929107 0.02411609
77   77 0.2929107 0.02411609
78   78 0.2929107 0.02411609
79   79 0.2929107 0.02411609
80   80 0.2929107 0.02411609
81   81 0.2929107 0.02411609
82   82 0.2929107 0.02411609
83   83 0.2929107 0.02411609
84   84 0.2929107 0.02411609
85   85 0.2929107 0.02411609
86   86 0.2929107 0.02411609
87   87 0.2929107 0.02411609
88   88 0.2929107 0.02411609
89   89 0.2929107 0.02411609
90   90 0.2929107 0.02411609
91   91 0.2929107 0.02411609
92   92 0.2929107 0.02411609
93   93 0.2929107 0.02411609
94   94 0.2929107 0.02411609
95   95 0.2929107 0.02411609
96   96 0.2929107 0.02411609
97   97 0.2929107 0.02411609
98   98 0.2929107 0.02411609
99   99 0.2929107 0.02411609
100 100 0.2929107 0.02411609
101 101 0.2929107 0.02411609
102 102 0.2929107 0.02411609
103 103 0.2929107 0.02411609
104 104 0.2929107 0.02411609
105 105 0.2929107 0.02411609
106 106 0.2929107 0.02411609
107 107 0.2929107 0.02411609
108 108 0.2929107 0.02411609
109 109 0.2929107 0.02411609
110 110 0.2929107 0.02411609
111 111 0.2929107 0.02411609
112 112 0.2929107 0.02411609
113 113 0.2929107 0.02411609
114 114 0.2929107 0.02411609
115 115 0.2929107 0.02411609
116 116 0.2929107 0.02411609
117 117 0.2929107 0.02411609
118 118 0.2929107 0.02411609
119 119 0.2929107 0.02411609
120 120 0.2929107 0.02411609













Parameter tuning of ¡®svm¡¯:

- sampling method: bootstrapping 

- best parameters:
 gamma cost
 0.026 0.75

- best performance: 0.2587884 

- Detailed performance results:
    gamma cost     error dispersion
1   0.010 0.25 0.2885045 0.01700557
2   0.011 0.25 0.2885045 0.01700557
3   0.012 0.25 0.2880260 0.01741168
4   0.013 0.25 0.2880260 0.01741168
5   0.014 0.25 0.2880260 0.01741168
